t_ms_since_iter_start	dc0_running_compactions	dc1_running_compactions	dc0_estimate_keys	dc1_estimate_keys
249	0	0	2629177	2629239
1249	0	0	2668740	2645946
2249	0	0	2724947	2698587
3249	0	0	2769727	2751578
4249	0	0	2397744	2411884
5249	0	0	2464129	2475479
6249	0	0	2362540	2391426
7249	0	0	2403144	2450858
8249	0	0	2428612	2486729
9249	0	0	2463199	2538114
10249	0	0	2533192	2562917
11249	0	0	2555341	2502890
12249	0	0	2584528	2531987
13249	0	0	2510160	2559960
14249	0	0	2547485	2587581
15249	0	0	2606286	2635630
16249	0	0	2657122	2695907
17249	0	0	2686050	2748645
18249	0	0	2715615	2803020
19249	0	0	2767535	2818202
20249	0	0	2799939	2871985
21249	0	0	2845990	2907323
22249	0	0	2913971	2937554
23249	0	0	2950508	2998413
24249	0	0	2980917	3067798
25249	0	0	3043544	3108821
26249	0	0	3083766	3137561
27249	0	0	3105487	2774043
28249	0	0	2731106	2823102
29249	0	0	2763074	2848860
30249	0	0	2827131	2878553
31249	0	0	2863411	2937015
32249	0	0	2905828	2985987
33249	0	0	2977403	3037768
34249	0	0	3006368	2652782
35249	0	0	2627869	2715561
36249	0	0	2672629	2760039
37249	0	0	2710520	2794596
38249	0	0	2749781	2825522
39249	0	0	2794446	2853908
40249	0	0	2861467	2907491
41249	0	0	2884276	2952825
42249	0	0	2910744	3012826
43249	0	0	2945440	3042673
44249	0	0	2983744	3076217
45249	0	0	3045975	3103409
46249	0	0	3076392	3148365
47249	0	0	3124432	3193639
48249	0	0	3147860	3235802
49249	0	0	3197295	2859201
50249	0	0	3251779	2891886
51249	0	0	2874644	2927623
52249	0	0	2891983	2974037
53249	0	0	2918728	3028919
54249	0	0	2946956	3052063
55249	0	0	2993807	3080623
56249	0	0	3018326	3099856
57249	0	0	3065074	2738387
58249	0	0	3096257	2789695
59249	0	0	3123684	2704821
60249	0	0	2769271	2732361
61249	0	0	2804708	2759007
62249	0	0	2696305	2792371
63249	0	0	2736867	2853971
64249	0	0	2778369	2874142
65249	0	0	2817519	2912966
66249	0	0	2855082	2961892
67249	0	0	2881667	2878159
68249	0	0	2909647	2911931
69249	0	0	2827417	2935507
70249	0	0	2859736	2949602
71249	0	0	2877880	3001622
72249	0	0	2923210	3036120
73249	0	0	2953893	3071430
74249	0	0	2974378	3102450
75249	0	0	2990180	3133203
76249	0	0	3027693	3150542
77249	0	0	3079524	3177883
78249	0	0	3121900	3220922
79249	0	0	3151957	3268463
80249	0	0	3179568	3289166
81249	0	0	3231041	3327815
82249	0	0	3253863	3362682
83249	0	0	3286325	3408088
84249	0	0	3322522	3434102
85249	0	0	3349587	3463754
86249	0	0	3371507	3095467
87249	0	0	3413055	3117675
88249	0	0	3442648	3141434
89249	0	0	3487917	3176363
90249	0	0	3101189	3227377
91249	0	0	3122627	3268718
92249	0	0	3171463	3297145
93249	0	0	3205481	3332253
94249	0	0	3233393	3355903
95249	0	0	3271658	2993002
96249	0	0	3328085	3018071
97249	0	0	3365639	3046591
98249	0	0	3000035	3103569
99249	0	0	3049338	3140150
100249	0	0	3083231	3208361
101249	0	0	3116601	3231330
102249	0	0	3139355	3256834
103249	0	0	3183339	3304952
104249	0	0	3216841	3353365
105249	0	0	3247852	3380586
106249	0	0	3272635	3427418
107249	0	0	3293463	3463828
108249	0	0	3316360	3485817
109249	0	0	3341590	3495583
110249	0	0	3410062	3513252
111249	0	0	3438562	3542668
112249	0	0	3471313	3553046
113249	0	0	3542811	3596500
114249	0	0	3553053	3213799
115249	0	0	3568859	3251580
116249	0	0	3213649	3288860
117249	0	0	3237511	3302195
118249	0	0	3254814	3321822
119249	0	0	3306321	3342671
120249	0	0	3327561	3360837
121249	0	0	3375134	3370824
122249	0	0	3398861	3404296
123249	0	0	3421326	3448639
124249	0	0	3438869	3478373
125249	0	0	3462693	3093366
126249	0	0	3494784	3116574
127249	0	0	3103384	3127026
128249	0	0	3124191	3035216
129249	0	0	3039615	3077853
130249	0	0	3068525	3107722
131249	0	0	3090509	3154308
132249	0	0	3112043	3182543
133249	0	0	3130730	3197915
134249	0	0	3152472	3248990
135249	0	0	3186219	3293895
136249	0	0	3220861	3318216
137249	0	0	3252271	3218520
138249	0	0	3283966	3229527
139249	0	0	3293515	3273410
140249	0	0	3223688	3339024
141249	0	0	3242354	3362052
142249	0	0	3259734	3378348
143249	0	0	3274132	3409120
144249	0	0	3308794	3450276
145249	0	0	3323510	3468524
146249	0	0	3343180	3485651
147249	0	0	3351875	3516861
148249	0	0	3379167	3551040
149249	0	0	3403012	3580862
150249	0	0	3443966	3594666
151249	0	0	3455074	3646996
152249	0	0	3471378	3660256
153249	0	0	3483942	3671476
154249	0	0	3510644	3690075
155249	0	0	3541553	3715576
156249	0	0	3551634	3737130
157249	0	0	3582702	3759196
158249	0	0	3602682	3777928
159249	0	0	3621524	3803798
160249	0	0	3663716	3409497
161249	0	0	3684480	3426223
162249	0	0	3700761	3460742
163249	0	0	3715160	3502316
164249	0	0	3775291	3515854
165249	0	0	3806359	3549467
166249	0	0	3823876	3574147
167249	0	0	3839758	3589348
168249	0	0	3439227	3641175
169249	0	0	3480188	3663731
170249	0	0	3531880	3677293
171249	0	0	3551311	3703587
172249	0	0	3565632	3725873
173249	0	0	3578658	3349564
174249	0	0	3596301	3380253
175249	0	0	3638054	3399144
176249	0	0	3655757	3424082
177249	0	0	3671819	3434144
178249	0	0	3719552	3468340
179249	0	0	3325353	3484801
180249	0	0	3347637	3509118
181249	0	0	3369123	3526553
182249	0	0	3393215	3545553
183249	0	0	3410750	3549591
184249	0	0	3425797	3549591
185249	0	0	3444530	3549591
186249	0	0	3460853	3549591
187249	0	0	3479728	3549591
188249	0	0	3490902	3549591
189249	0	0	3549538	3549591
